Product,Reseller,Year,Quarter,Month,Sum of Order Quantity,Sum of Product Standard Cost,Sum of Sales Amount
AWC Logo Cap,Best o' Bikes,2019,Qtr 3,July,3,6.9223,16.182
AWC Logo Cap,Best o' Bikes,2019,Qtr 4,October,2,6.9223,10.788
AWC Logo Cap,Best o' Bikes,2020,Qtr 2,April,2,6.9223,10.788
AWC Logo Cap,Better Bike Shop,2017,Qtr 3,July,2,5.7052,10.373
AWC Logo Cap,Better Bike Shop,2017,Qtr 3,September,3,5.7052,15.5595
AWC Logo Cap,Better Bike Shop,2018,Qtr 1,January,1,5.7052,5.1865
AWC Logo Cap,Better Bike Shop,2018,Qtr 2,April,3,5.7052,15.5595
AWC Logo Cap,Better Bike Shop,2018,Qtr 3,July,9,5.2297,46.6785
AWC Logo Cap,Better Bike Shop,2018,Qtr 4,October,6,5.2297,31.119
AWC Logo Cap,Better Bike Shop,2019,Qtr 1,January,3,5.2297,15.5595
AWC Logo Cap,Better Bike Shop,2019,Qtr 2,April,3,5.2297,15.5595
AWC Logo Cap,Better Bike Shop,2019,Qtr 3,July,5,6.9223,26.97
AWC Logo Cap,Better Bike Shop,2019,Qtr 4,October,7,6.9223,37.758
AWC Logo Cap,Better Bike Shop,2020,Qtr 1,January,2,6.9223,10.788
AWC Logo Cap,Better Bike Shop,2020,Qtr 2,April,3,6.9223,16.182
AWC Logo Cap,Bicycle Lines Distributors,2019,Qtr 3,August,3,6.9223,16.182
AWC Logo Cap,Bicycle Merchandise Warehouse,2018,Qtr 3,September,7,5.2297,36.3055
AWC Logo Cap,Bicycle Merchandise Warehouse,2018,Qtr 4,December,2,5.2297,10.373
AWC Logo Cap,Bicycle Merchandise Warehouse,2019,Qtr 1,March,8,5.2297,41.492
AWC Logo Cap,Bicycle Merchandise Warehouse,2019,Qtr 2,June,6,5.2297,31.119
AWC Logo Cap,Bicycle Outfitters,2017,Qtr 3,September,2,5.7052,10.373
AWC Logo Cap,Bicycle Warehouse Inc.,2019,Qtr 3,September,7,13.8446,37.757999999999996
AWC Logo Cap,Bicycle Warehouse Inc.,2019,Qtr 4,December,1,6.9223,5.394
AWC Logo Cap,Bike Dealers Association,2017,Qtr 3,July,6,5.7052,31.119
AWC Logo Cap,Bike Dealers Association,2017,Qtr 3,September,10,5.7052,51.865
AWC Logo Cap,Bike Dealers Association,2018,Qtr 1,January,5,5.7052,25.9325
AWC Logo Cap,Bike Dealers Association,2018,Qtr 2,April,7,5.7052,36.3055
AWC Logo Cap,Bike Dealers Association,2018,Qtr 3,July,15,5.2297,67.7488
AWC Logo Cap,Bike Dealers Association,2018,Qtr 4,October,7,5.2297,36.3055
AWC Logo Cap,Bike Dealers Association,2019,Qtr 1,January,3,5.2297,15.5595
AWC Logo Cap,Bike Dealers Association,2019,Qtr 2,April,3,5.2297,15.5595
AWC Logo Cap,Bike Dealers Association,2019,Qtr 3,July,3,6.9223,16.182
AWC Logo Cap,Bike Dealers Association,2019,Qtr 4,October,19,6.9223,89.2482
AWC Logo Cap,Bike Dealers Association,2020,Qtr 1,January,6,6.9223,32.364
AWC Logo Cap,Bike Dealers Association,2020,Qtr 2,April,12,6.9223,61.319
AWC Logo Cap,Bike Experts,2018,Qtr 3,August,5,5.2297,25.9325
AWC Logo Cap,Bike Experts,2018,Qtr 4,November,6,5.2297,31.119
AWC Logo Cap,Bike Experts,2019,Qtr 1,February,4,5.2297,20.746
AWC Logo Cap,Bike Part Wholesalers,2019,Qtr 3,September,6,6.9223,32.364
AWC Logo Cap,Bike Part Wholesalers,2019,Qtr 4,December,7,6.9223,37.758
AWC Logo Cap,Bike Part Wholesalers,2020,Qtr 1,March,4,6.9223,21.576
AWC Logo Cap,Bike Part Wholesalers,2020,Qtr 2,June,3,6.9223,16.182
AWC Logo Cap,Bike Rims Company,2017,Qtr 3,July,2,5.7052,10.373
AWC Logo Cap,Bike Rims Company,2017,Qtr 3,September,8,5.7052,41.492
AWC Logo Cap,Bike Rims Company,2018,Qtr 1,January,2,5.7052,10.373
AWC Logo Cap,Bike World,2018,Qtr 3,September,2,5.2297,10.373
AWC Logo Cap,Bike World,2018,Qtr 4,December,1,5.2297,5.1865
AWC Logo Cap,Bike World,2019,Qtr 3,September,2,6.9223,10.788
AWC Logo Cap,Bike World,2019,Qtr 4,December,3,6.9223,16.182
AWC Logo Cap,Bikes and Motorbikes,2018,Qtr 3,August,16,5.2297,72.2654
AWC Logo Cap,Bikes and Motorbikes,2018,Qtr 4,November,5,5.2297,25.9325
AWC Logo Cap,Bikes and Motorbikes,2019,Qtr 1,February,7,5.2297,36.3055
AWC Logo Cap,Bikes and Motorbikes,2019,Qtr 2,May,2,5.2297,10.373
AWC Logo Cap,Bikes and Motorbikes,2019,Qtr 3,August,9,6.9223,48.546
AWC Logo Cap,Bikes and Motorbikes,2019,Qtr 4,November,6,6.9223,32.364
AWC Logo Cap,Bikes and Motorbikes,2020,Qtr 1,February,8,6.9223,43.152
AWC Logo Cap,Bikes and Motorbikes,2020,Qtr 2,May,16,6.9223,75.1564
AWC Logo Cap,Bikes for Kids and Adults,2019,Qtr 2,April,4,5.2297,20.746
AWC Logo Cap,Bold Bike Accessories,2017,Qtr 3,August,2,5.7052,10.373
AWC Logo Cap,Bold Bike Accessories,2017,Qtr 4,November,2,5.7052,10.373
AWC Logo Cap,Bold Bike Accessories,2018,Qtr 2,May,2,5.7052,10.373
AWC Logo Cap,Brakes and Gears,2017,Qtr 4,November,1,5.7052,5.1865
AWC Logo Cap,Brakes and Gears,2018,Qtr 2,May,2,5.7052,10.373
AWC Logo Cap,Brightwork Company,2017,Qtr 4,November,7,5.7052,36.3055
AWC Logo Cap,Brightwork Company,2018,Qtr 2,May,4,5.7052,20.746
AWC Logo Cap,Brightwork Company,2018,Qtr 3,August,6,5.2297,31.119
AWC Logo Cap,Brightwork Company,2018,Qtr 4,November,9,5.2297,46.6785
AWC Logo Cap,Brightwork Company,2019,Qtr 2,May,5,5.2297,25.9325
AWC Logo Cap,Brightwork Company,2019,Qtr 3,August,3,6.9223,16.182
AWC Logo Cap,Brightwork Company,2019,Qtr 4,November,4,6.9223,21.576
AWC Logo Cap,Bulk Discount Store,2018,Qtr 3,September,3,5.2297,15.5595
AWC Logo Cap,Bulk Discount Store,2018,Qtr 4,December,2,5.2297,10.373
AWC Logo Cap,Bulk Discount Store,2019,Qtr 1,March,3,5.2297,15.5595
AWC Logo Cap,Bulk Discount Store,2019,Qtr 2,June,4,5.2297,20.746
AWC Logo Cap,Bulk Discount Store,2019,Qtr 3,September,7,6.9223,37.758
AWC Logo Cap,Bulk Discount Store,2019,Qtr 4,December,5,6.9223,26.97
AWC Logo Cap,Bulk Discount Store,2020,Qtr 1,March,1,6.9223,5.394
AWC Logo Cap,Bulk Discount Store,2020,Qtr 2,June,1,6.9223,5.394
AWC Logo Cap,Casual Bicycle Store,2018,Qtr 3,July,3,5.2297,15.5595
AWC Logo Cap,Casual Bicycle Store,2018,Qtr 4,October,1,5.2297,5.1865
AWC Logo Cap,Casual Bicycle Store,2019,Qtr 1,January,4,5.2297,20.746
AWC Logo Cap,Casual Bicycle Store,2019,Qtr 2,April,2,5.2297,10.373
AWC Logo Cap,Central Discount Store,2018,Qtr 2,June,1,5.7052,5.1865
AWC Logo Cap,Central Discount Store,2018,Qtr 3,September,1,5.2297,5.1865
AWC Logo Cap,Central Discount Store,2018,Qtr 4,December,2,5.2297,10.373
AWC Logo Cap,Central Discount Store,2019,Qtr 2,June,2,5.2297,10.373
AWC Logo Cap,Central Discount Store,2019,Qtr 4,December,3,6.9223,16.182
AWC Logo Cap,Certified Bicycle Supply,2018,Qtr 4,December,4,5.2297,20.746
AWC Logo Cap,Certified Bicycle Supply,2019,Qtr 2,June,1,5.2297,5.1865
AWC Logo Cap,Certified Bicycle Supply,2019,Qtr 3,September,2,6.9223,10.788
AWC Logo Cap,Certified Bicycle Supply,2019,Qtr 4,December,2,6.9223,10.788
AWC Logo Cap,Certified Bicycle Supply,2020,Qtr 2,June,1,6.9223,5.394
AWC Logo Cap,Channel Outlet,2019,Qtr 3,September,5,6.9223,26.97
AWC Logo Cap,Citywide Service and Repair,2018,Qtr 3,July,10,5.2297,51.865
AWC Logo Cap,Citywide Service and Repair,2018,Qtr 4,October,8,5.2297,41.492
AWC Logo Cap,Citywide Service and Repair,2019,Qtr 1,January,8,5.2297,41.492
AWC Logo Cap,Citywide Service and Repair,2019,Qtr 2,April,4,5.2297,20.746
AWC Logo Cap,Citywide Service and Repair,2019,Qtr 3,July,3,6.9223,16.182
AWC Logo Cap,Citywide Service and Repair,2019,Qtr 4,October,8,6.9223,43.152
AWC Logo Cap,Citywide Service and Repair,2020,Qtr 1,January,6,6.9223,32.364
AWC Logo Cap,Citywide Service and Repair,2020,Qtr 2,April,12,6.9223,61.319
AWC Logo Cap,Clamps & Brackets Co.,2018,Qtr 2,April,1,5.7052,5.1865
AWC Logo Cap,Closeout Boutique,2018,Qtr 3,August,15,5.2297,67.7488
AWC Logo Cap,Closeout Boutique,2018,Qtr 4,November,4,5.2297,20.746
AWC Logo Cap,Closeout Boutique,2019,Qtr 1,February,2,5.2297,10.373
AWC Logo Cap,Closeout Boutique,2019,Qtr 2,May,6,5.2297,31.119
AWC Logo Cap,Commerce Bicycle Specialists,2018,Qtr 3,August,7,5.2297,36.3055
AWC Logo Cap,Commerce Bicycle Specialists,2018,Qtr 4,November,2,5.2297,10.373
AWC Logo Cap,Commerce Bicycle Specialists,2019,Qtr 1,February,4,5.2297,20.746
AWC Logo Cap,Commerce Bicycle Specialists,2019,Qtr 2,May,4,5.2297,20.746
AWC Logo Cap,Commerce Bicycle Specialists,2019,Qtr 3,August,11,6.9223,56.2091
AWC Logo Cap,Commerce Bicycle Specialists,2019,Qtr 4,November,4,6.9223,21.576
AWC Logo Cap,Commerce Bicycle Specialists,2020,Qtr 1,February,4,6.9223,21.576
AWC Logo Cap,Commerce Bicycle Specialists,2020,Qtr 2,May,1,6.9223,5.394
AWC Logo Cap,Commercial Sporting Goods,2018,Qtr 3,September,25,5.2297,97.2473
AWC Logo Cap,Commercial Sporting Goods,2018,Qtr 4,December,23,5.2297,103.8815
AWC Logo Cap,Commercial Sporting Goods,2019,Qtr 1,March,5,5.2297,25.9325
AWC Logo Cap,Commercial Sporting Goods,2019,Qtr 2,June,9,5.2297,46.6785
AWC Logo Cap,Community Department Stores,2018,Qtr 3,September,2,5.2297,10.373
AWC Logo Cap,Community Department Stores,2018,Qtr 4,December,5,5.2297,25.9325
AWC Logo Cap,Community Department Stores,2019,Qtr 2,June,7,5.2297,36.3055
AWC Logo Cap,Community Department Stores,2019,Qtr 3,September,5,6.9223,26.97
AWC Logo Cap,Community Department Stores,2019,Qtr 4,December,3,6.9223,16.182
AWC Logo Cap,Commuter Bicycle Store,2019,Qtr 4,November,1,6.9223,5.394
AWC Logo Cap,Commuter Bicycle Store,2020,Qtr 1,February,2,6.9223,10.788
AWC Logo Cap,Consolidated Messenger,2019,Qtr 3,August,7,6.9223,37.758
AWC Logo Cap,Consolidated Messenger,2019,Qtr 4,November,2,6.9223,10.788
AWC Logo Cap,Consolidated Messenger,2020,Qtr 1,February,3,6.9223,16.182
AWC Logo Cap,Consolidated Messenger,2020,Qtr 2,May,6,6.9223,32.364
AWC Logo Cap,Consolidated Sales,2017,Qtr 4,November,3,5.7052,15.5595
AWC Logo Cap,Consolidated Sales,2018,Qtr 2,May,6,5.7052,31.119
AWC Logo Cap,Consolidated Sales,2018,Qtr 3,August,1,5.2297,5.1865
AWC Logo Cap,Consolidated Sales,2018,Qtr 4,November,4,5.2297,20.746
AWC Logo Cap,Consolidated Sales,2019,Qtr 2,May,3,5.2297,15.5595
AWC Logo Cap,Consolidated Sales,2019,Qtr 3,August,5,6.9223,26.97
AWC Logo Cap,Consolidated Sales,2019,Qtr 4,November,2,6.9223,10.788
AWC Logo Cap,Convenient Bike Shop,2017,Qtr 3,September,4,5.7052,20.746
AWC Logo Cap,Convenient Bike Shop,2018,Qtr 2,April,4,5.7052,20.746
AWC Logo Cap,Corner Bicycle Supply,2017,Qtr 3,September,2,5.7052,10.373
AWC Logo Cap,Corner Bicycle Supply,2017,Qtr 4,November,8,5.7052,41.492
AWC Logo Cap,Corner Bicycle Supply,2018,Qtr 1,February,2,5.7052,10.373
AWC Logo Cap,Corner Bicycle Supply,2018,Qtr 2,June,6,5.7052,31.119
AWC Logo Cap,Corner Bicycle Supply,2018,Qtr 3,September,11,5.2297,54.0466
AWC Logo Cap,Corner Bicycle Supply,2018,Qtr 4,December,4,5.2297,20.746
AWC Logo Cap,Corner Bicycle Supply,2019,Qtr 1,March,7,5.2297,36.3055
AWC Logo Cap,Corner Bicycle Supply,2019,Qtr 2,June,7,5.2297,36.3055
AWC Logo Cap,Cross-Country Riding Supplies,2017,Qtr 4,November,2,5.7052,10.373
AWC Logo Cap,Curbside Universe,2018,Qtr 1,January,2,5.7052,10.373
AWC Logo Cap,Custom Accessories Company,2018,Qtr 3,August,6,5.2297,31.119
AWC Logo Cap,Custom Accessories Company,2018,Qtr 4,November,4,5.2297,20.746
AWC Logo Cap,Custom Accessories Company,2019,Qtr 1,February,7,5.2297,36.3055
AWC Logo Cap,Custom Accessories Company,2019,Qtr 2,May,4,5.2297,20.746
AWC Logo Cap,Cycle Parts and Accessories,2019,Qtr 3,September,9,6.9223,48.546
AWC Logo Cap,Cycle Parts and Accessories,2019,Qtr 4,December,3,6.9223,16.182
AWC Logo Cap,Cycle Parts and Accessories,2020,Qtr 2,June,3,6.9223,16.182
AWC Logo Cap,Cycles and Scooters,2017,Qtr 4,November,1,5.7052,5.1865
AWC Logo Cap,Cycles and Scooters,2018,Qtr 2,June,1,5.7052,5.1865
AWC Logo Cap,Cycles Sales and Repair,2019,Qtr 3,September,4,6.9223,21.576
AWC Logo Cap,Cycles Wholesaler & Mfg.,2020,Qtr 1,January,6,6.9223,32.364
AWC Logo Cap,Cycling Goods,2018,Qtr 3,August,1,5.2297,5.1865
AWC Logo Cap,Cycling Goods,2018,Qtr 4,November,2,5.2297,10.373
AWC Logo Cap,Cycling Goods,2020,Qtr 2,May,3,6.9223,16.182
AWC Logo Cap,Designated Distributors,2017,Qtr 3,August,13,5.7052,63.8733
AWC Logo Cap,Designated Distributors,2017,Qtr 4,November,9,5.7052,46.6785
AWC Logo Cap,Designated Distributors,2018,Qtr 1,February,9,5.7052,46.6785
AWC Logo Cap,Designated Distributors,2018,Qtr 2,May,14,5.7052,68.7866
AWC Logo Cap,Discount Tours,2017,Qtr 4,November,1,5.7052,5.1865
AWC Logo Cap,Discount Tours,2018,Qtr 2,June,4,5.7052,20.746
AWC Logo Cap,Discount Tours,2018,Qtr 3,September,3,5.2297,15.5595
AWC Logo Cap,Discount Tours,2018,Qtr 4,December,3,5.2297,15.5595
AWC Logo Cap,Discount Tours,2019,Qtr 2,June,3,5.2297,15.5595
AWC Logo Cap,Discount Tours,2019,Qtr 3,September,3,6.9223,16.182
AWC Logo Cap,Distant Inn,2018,Qtr 3,July,2,5.2297,10.373
AWC Logo Cap,Distant Inn,2018,Qtr 4,October,2,5.2297,10.373
AWC Logo Cap,Distant Inn,2019,Qtr 3,July,4,6.9223,21.576
AWC Logo Cap,Distant Inn,2019,Qtr 4,October,5,6.9223,26.97
AWC Logo Cap,Distant Inn,2020,Qtr 2,April,3,6.9223,16.182
AWC Logo Cap,Distinctive Store,2018,Qtr 2,June,1,5.7052,5.1865
AWC Logo Cap,Downhill Bicycle Specialists,2018,Qtr 3,August,14,5.2297,68.7866
AWC Logo Cap,Downhill Bicycle Specialists,2018,Qtr 4,November,10,5.2297,51.865
AWC Logo Cap,Downhill Bicycle Specialists,2019,Qtr 1,February,3,5.2297,15.5595
AWC Logo Cap,Downhill Bicycle Specialists,2019,Qtr 2,May,11,5.2297,54.0466
AWC Logo Cap,Eastside Department Store,2018,Qtr 3,September,10,5.2297,51.865
AWC Logo Cap,Eastside Department Store,2018,Qtr 4,December,17,5.2297,76.7819
AWC Logo Cap,Eastside Department Store,2019,Qtr 1,March,4,5.2297,20.746
AWC Logo Cap,Eastside Department Store,2019,Qtr 2,June,14,5.2297,68.7866
AWC Logo Cap,Eastside Department Store,2019,Qtr 3,September,21,6.9223,98.6428
AWC Logo Cap,Eastside Department Store,2019,Qtr 4,December,9,6.9223,48.546
AWC Logo Cap,Eastside Department Store,2020,Qtr 1,March,7,6.9223,37.758
AWC Logo Cap,Eastside Department Store,2020,Qtr 2,June,11,6.9223,56.2091
AWC Logo Cap,Eastside Sporting Goods,2018,Qtr 3,July,11,5.2297,54.0466
AWC Logo Cap,Eastside Sporting Goods,2018,Qtr 4,October,2,5.2297,10.373
AWC Logo Cap,Eastside Sporting Goods,2019,Qtr 1,January,2,5.2297,10.373
AWC Logo Cap,Eastside Sporting Goods,2019,Qtr 2,April,5,5.2297,25.9325
AWC Logo Cap,eCommerce Bikes,2017,Qtr 3,August,2,5.7052,10.373
AWC Logo Cap,eCommerce Bikes,2018,Qtr 1,February,4,5.7052,20.746
AWC Logo Cap,eCommerce Bikes,2018,Qtr 2,May,2,5.7052,10.373
AWC Logo Cap,eCommerce Bikes,2018,Qtr 3,August,12,5.2297,58.9599
AWC Logo Cap,eCommerce Bikes,2018,Qtr 4,November,10,5.2297,51.865
AWC Logo Cap,eCommerce Bikes,2019,Qtr 1,February,6,5.2297,31.119
AWC Logo Cap,eCommerce Bikes,2019,Qtr 2,May,16,5.2297,72.2654
AWC Logo Cap,Educational Services,2019,Qtr 3,September,6,6.9223,32.364
AWC Logo Cap,Educational Services,2019,Qtr 4,December,3,6.9223,16.182
AWC Logo Cap,Educational Services,2020,Qtr 1,March,4,6.9223,21.576
AWC Logo Cap,Educational Services,2020,Qtr 2,June,5,6.9223,26.97
AWC Logo Cap,Elite Bikes,2018,Qtr 3,September,12,5.2297,58.9599
AWC Logo Cap,Elite Bikes,2018,Qtr 4,December,12,5.2297,58.9599
AWC Logo Cap,Elite Bikes,2019,Qtr 1,March,5,5.2297,25.9325
AWC Logo Cap,Elite Bikes,2019,Qtr 2,June,8,5.2297,41.492
AWC Logo Cap,Engineered Bike Systems,2020,Qtr 2,June,4,6.9223,21.576
AWC Logo Cap,Every Bike Shop,2018,Qtr 2,May,2,5.7052,10.373
AWC Logo Cap,Excellent Bikes,2019,Qtr 3,August,12,6.9223,61.319
AWC Logo Cap,Excellent Bikes,2019,Qtr 4,November,10,6.9223,53.94
AWC Logo Cap,Excellent Bikes,2020,Qtr 1,February,4,6.9223,21.576
AWC Logo Cap,Excellent Bikes,2020,Qtr 2,May,4,6.9223,21.576
AWC Logo Cap,Excellent Riding Supplies,2019,Qtr 1,March,1,5.2297,5.1865
AWC Logo Cap,Exceptional Cycle Services,2019,Qtr 3,July,5,6.9223,26.97
AWC Logo Cap,Exceptional Cycle Services,2019,Qtr 4,October,7,6.9223,37.758
AWC Logo Cap,Exceptional Cycle Services,2020,Qtr 2,April,9,6.9223,48.546
AWC Logo Cap,Exchange Parts Inc.,2020,Qtr 2,June,1,6.9223,5.394
AWC Logo Cap,Executive Gift Store,2018,Qtr 3,August,3,5.2297,15.5595
AWC Logo Cap,Executive Gift Store,2019,Qtr 2,May,2,5.2297,10.373
AWC Logo Cap,Exhibition Showroom,2019,Qtr 3,July,8,6.9223,43.152
AWC Logo Cap,Exhibition Showroom,2019,Qtr 4,October,16,6.9223,75.1564
AWC Logo Cap,Exhibition Showroom,2020,Qtr 1,January,8,6.9223,43.152
AWC Logo Cap,Exhibition Showroom,2020,Qtr 2,April,13,6.9223,66.4289
AWC Logo Cap,Exhilarating Cycles,2018,Qtr 3,July,6,5.2297,31.119
AWC Logo Cap,Exhilarating Cycles,2018,Qtr 4,October,8,5.2297,41.492
AWC Logo Cap,Exhilarating Cycles,2019,Qtr 1,January,5,5.2297,25.9325
AWC Logo Cap,Exhilarating Cycles,2019,Qtr 2,April,2,5.2297,10.373
AWC Logo Cap,Exhilarating Cycles,2019,Qtr 3,July,18,6.9223,84.551
